hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Safran Suites Apart,3.1/5,21 reviews,"Binbirdirek Mah. Dizdariye Cesmesi Sok., No 9 Istanbul Fatih, Istanbul",3.1/5,3.1/5,3.2/5,2.9/5,55+,,269 sq ft,4.0,$20
Durak Hotel,3.5/5,44 reviews,"Kumbahçe Mah. Rasathane Sok. No 10, Mugla, Mugla",3.4/5,3.3/5,4.0/5,3.3/5,41+,5/5 guest room rating,108 sq ft,5.0,$15
Belle vue Hotel,4.0/5,116 reviews,"Ölüdeniz, Mugla, Mugla",4.1/5,4.1/5,3.0/5,3.9/5,37+,5/5 guest room rating,108 sq ft,10.0,$27
Sunpark Beach Hotel - Adult Only +16,4.2/5,37 reviews,"Saray Mah. 900. sok. No:4, Alanya, Antalya",4.4/5,4.1/5,3.0/5,4.0/5,98+,,193 sq ft,13.0,$95
AntalyaHotel,4.0/5,44 reviews,"Kuskavagi Mah.,552 Sokak, No. 11, Konyaalti, Antalya",3.9/5,4.0/5,4.0/5,3.7/5,20+,5/5 guest room rating,172 sq ft,8.0,$27
Skalion Hotel & Spa,4.1/5,351 reviews,"Çifte Gelinler Cad.No:6, Istanbul, Istanbul",4.4/5,4.5/5,4.0/5,4.1/5,81+,3.8/5 guest room rating,237 sq ft,10.0,$48
Expo Park Hotel,2.0/5,80 reviews,"Doguyaka Mahallesi Gazi Bulvari, No 644 B 1, Antalya",2.1/5,2.3/5,1.5/5,2.0/5,45+,,215 sq ft,11.0,$29
Hotel Flash,3.4/5,32 reviews,"kamer hatun mahallesi, tarlabasi bulvari no 113, Istanbul, Istanbul",3.2/5,3.3/5,2.9/5,3.1/5,13+,,15 sq ft,6.0,$27
Asia Beach Resort & Spa Hotel,4.0/5,154 reviews,"Oba Mah. 30. Sokak No.1, Alanya, Antalya",4.1/5,3.9/5,4.3/5,4.1/5,73+,3.8/5 guest room rating,409 sq ft,19.0,$117
Sezgin Boutique Hotel,3.8/5,63 reviews,"Aslanlar Cad No:44, Kusadasi, Aydin",3.7/5,4.0/5,4.7/5,3.8/5,74+,,129 sq ft,11.0,$30
Nevada Hotel Spa,3.6/5,25 reviews,"Cahit Behenc Bulvar Foca mah, 1049 sok Cals, Mugla, Mugla",3.4/5,3.6/5,4.0/5,3.6/5,49+,4.4/5 guest room rating,215 sq ft,15.0,$37
Otel Atrium,3.6/5,63 reviews,"Umurça Mahallesi, Üçkuyular Cad. No:31, Mugla, Mugla",3.3/5,3.5/5,4.0/5,3.5/5,45+,4/5 guest room rating,172 sq ft,10.0,$30
Ephesian Hotel Guesthouse,3.9/5,68 reviews,"Camiatik Mah, Aslanlar Cad No 9 Kusadasi, Aydin",4.0/5,4.1/5,2.0/5,3.8/5,26+,5/5 guest room rating,193 sq ft,8.0,$23
Turka Loca City Hotel,3.5/5,20 reviews,"Sinanoglu Cd. 73, Antalya, Antalya",3.4/5,3.3/5,3.3/5,3.1/5,35+,5/5 guest room rating,1 bedroom,9.0,$17
Duygu Pension,3.7/5,18 reviews,"2 Karagözler Ordu Cad No:54, Mugla, Mugla",4.1/5,3.9/5,4.0/5,3.5/5,48+,,1 bedroom,8.0,$44
Lara Hadrianus Hotel,3.3/5,128 reviews,"Güzeloba Mahallesi, 2317. Sk., Antalya, Antalya, Antalya",3.2/5,3.4/5,2.5/5,3.2/5,124+,,236 sq ft,14.0,$28
Expoist Hotel,3.6/5,31 reviews,"Cumhuriyet Mh. No:1 Istanbul Outlet, Park Binasi Kat:8, Beylikdüzü, Istanbul, Istanbul",3.9/5,3.6/5,0.0/5,3.6/5,43+,,377 sq ft,8.0,$42
Ucar Royal,3.6/5,28 reviews,"Mesrutiyet Koyu Isik Uni Karsisi, 26D, Sile, Istanbul",3.8/5,3.5/5,4.0/5,3.8/5,38+,3.8/5 guest room rating,236 sq ft,11.0,$27
Mutado Pension Hotel,4.6/5,62 reviews,"Gazi bulvarı Karşıyaka Mh., 3927, Sokak 6/1, Antalya",4.7/5,4.6/5,4.0/5,4.5/5,54+,4.8/5 guest room rating,161 sq ft,7.0,$20
Blue Yacht Marina Apart Hotel,3.3/5,37 reviews,"Sariana Mah. 17 Sok. No. 9, Marmaris, Mugla",3.4/5,3.3/5,2.7/5,3.1/5,33+,,484 sq ft,17.0,$63
Ozgur Bey Spa Hotel,4.1/5,118 reviews,"Oba Göl Mevkii 14.Sk. No:5, Alanya, Antalya",4.1/5,4.2/5,3.4/5,4.1/5,21+,4.3/5 guest room rating,215 sq ft,13.0,$36
AY OTEL 2,3.9/5,18 reviews,"Elmali Mah 4. Sok, Antalya",3.9/5,3.9/5,4.2/5,3.6/5,32+,5/5 guest room rating,215 sq ft,3.0,$17
Le Méridien Mugla Beach Resort,3.2/5,12 reviews,"Bogazici Mahallesi, Yazlik Siteler Sokak, No 60 Adabuku, Mugla, Milas, Mugla",3.8/5,2.9/5,4.0/5,3.7/5,186+,5/5 guest room rating,355 sq ft,17.0,$241
Hotel Caktug,2.9/5,16 reviews,"Merkez Mah. Ataturk Cad. No 37, Mugla",2.5/5,3.8/5,2.0/5,2.4/5,11+,,322 sq ft,,$52
Grida City,2.4/5,56 reviews,"Meltem Mah. Sakip Sabanci Bulvari No:12, Antalya, Antalya",2.6/5,2.9/5,3.0/5,2.3/5,66+,,,13.0,$60
Linda Expo Palace,3.3/5,78 reviews,"Antalya Mh. 567 Sk. No 33, Antalya",3.2/5,3.4/5,4.1/5,3.3/5,48+,5/5 guest room rating,,6.0,$21
Erler Lego Village,3.4/5,26 reviews,"Altinova Orta Mah. 39 Sokak, Studio Lego Sitesi Kepez, Antalya",3.6/5,3.8/5,3.7/5,3.5/5,18+,,538 sq ft,13.0,$35
Rox Royal Hotel- All Inclusive,3.0/5,28 reviews,"Yeni M. Sehit Polis Cemal Ilgaz C. n8, Kemer, Antalya",3.2/5,3.4/5,2.0/5,3.2/5,145+,5/5 guest room rating,280 sq ft,19.0,$166
Bude Suite,2.4/5,18 reviews,"Ortaköy Mahallesi Mandira Sokak No 21, Istanbul",2.6/5,2.4/5,2.0/5,2.4/5,20+,,161 sq ft,8.0,$27
Araucaria Pension,4.1/5,23 reviews,"Kultur Mahallesi 3821 Sokak No.22, Konyaalti, Antalya",3.8/5,4.0/5,5.0/5,4.0/5,18+,4/5 guest room rating,269 sq ft,6.0,$23
