hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Hotel 86 by Katipoglu,4.4/5,89 reviews,"Fevzipasa Bulv. No 42 2, Cankaya, Izmir",4.6/5,4.5/5,4.2/5,4.5/5,28+,,215 sq ft,,$48
Holiday Inn Istanbul - Kadikoy,4.3/5,501 reviews,"Egitim Mahallesi Poyraz Sokak, Omer Hasanpasa, Kadikoy, Istanbul",4.5/5,4.4/5,4.4/5,4.4/5,81+,4.5/5 guest room rating,215 sq ft,15.0,$52
Triana Hotel,4.1/5,111 reviews,"Genclik Mah 1330 Sok No1, Antalya, Antalya",4.1/5,4.2/5,4.1/5,3.9/5,32+,4.3/5 guest room rating,215 sq ft,10.0,$25
Ciragan Palace Kempinski,4.6/5,299 reviews,"Ciragan Caddesi 32, Istanbul",4.7/5,4.6/5,4.7/5,4.5/5,148+,3.8/5 guest room rating,356 sq ft,15.0,$375
Hilton Garden Inn Istanbul Beylikduzu,4.3/5,252 reviews,"Barbaros Hayrettin Pasa Mah. 1999 Sk. 9, Esenyurt, Istanbul",4.4/5,4.3/5,4.3/5,4.3/5,49+,3.9/5 guest room rating,258 sq ft,15.0,$53
Novotel Istanbul Bosphorus,4.3/5,707 reviews,"Kemankes Caddesi No: 57-59, Karaköy - Istanbul, Istanbul",4.4/5,4.3/5,4.4/5,4.3/5,83+,4.3/5 guest room rating,258 sq ft,17.0,$97
The Marmara Antalya,4.0/5,720 reviews,"Eski Lara Yolu No. 136 Sirinyali, Antalya, Antalya",4.2/5,4.1/5,4.0/5,3.9/5,100+,4.3/5 guest room rating,452 sq ft,15.0,$76
Swissotel Resort Mugla Beach,4.5/5,81 reviews,"Turgutreis Mahallesi, Gazi Mustafa Kemal Bulvarı No:42, Mugla, Mugla",4.7/5,4.6/5,4.6/5,4.6/5,91+,4.6/5 guest room rating,431 sq ft,13.0,$176
Venue Hotel Old City Istanbul,4.4/5,96 reviews,"Hobyar Mah Mimar Vedat Sokak No. 16, Ozhan Apt., Sirkeci, Istanbul",4.4/5,4.4/5,4.3/5,4.2/5,92+,5/5 guest room rating,161 sq ft,6.0,$37
Luce Di Pera,4.1/5,619 reviews,"Balik Sokak No : 13 Taksim, Istanbul, Istanbul",4.2/5,4.3/5,4.1/5,4.0/5,30+,3.9/5 guest room rating,322 sq ft,8.0,$30
Route Hotel Kaleici,4.8/5,81 reviews,"Kilincarslan Mah. Hidirlik Sokak No.23/1, Kaleici, Antalya, Antalya",4.8/5,4.9/5,4.6/5,4.8/5,33+,4.3/5 guest room rating,161 sq ft,6.0,$46
Faros Hotel Old City,4.1/5,534 reviews,"Divan Yolu Caddesi No:68, Istanbul/Fatih, Istanbul, Istanbul",4.2/5,4.3/5,3.5/5,3.9/5,82+,4.2/5 guest room rating,269 sq ft,10.0,$73
Boss Hotel Istanbul,4.7/5,119 reviews,"Sururi Quarter, Turkocagi Street, No: 15, Cagaloglu, Fatih, Istanbul, Istanbul",4.8/5,4.7/5,4.7/5,4.7/5,95+,4.3/5 guest room rating,172 sq ft,7.0,$35
The Marmara Taksim,4.2/5,997 reviews,"Taksim Square, Istanbul, Istanbul",4.3/5,4.2/5,4.1/5,4.2/5,83+,4.1/5 guest room rating,215 sq ft,14.0,$187
Mia Berre Hotels,4.0/5,248 reviews,"Dikilitas Mh. Ayazmadere Cd. No 6, Fulya - Besiktas, Istanbul, Istanbul",4.2/5,4.1/5,4.1/5,4.1/5,38+,4/5 guest room rating,215 sq ft,11.0,$45
Bon Design & Suite,3.8/5,95 reviews,"Alaykosku Mah. Sengul Hamam Sok. No: 5, Istanbul, Istanbul, Istanbul",3.8/5,4.2/5,3.6/5,3.6/5,92+,3.8/5 guest room rating,194 sq ft,11.0,$30
Fairmont Quasar Istanbul,4.6/5,184 reviews,"Buyukdere Caddesi, 76, Mecidiyekoy, Istanbul",4.7/5,4.6/5,4.6/5,4.7/5,73+,4.5/5 guest room rating,431 sq ft,18.0,$144
Inntel Hotel Istanbul,3.9/5,117 reviews,"Kocatepe Mah Taksim Dolapdere Cad No:49, Istanbul, Istanbul",4.0/5,4.1/5,3.8/5,3.8/5,58+,,194 sq ft,11.0,$46
Crowne Plaza Hotel Antalya,4.0/5,614 reviews,"Akdeniz Bulvari Gursu Mah. 306, Sk. Konyaalti, Konyaalti, Antalya",4.0/5,4.1/5,3.9/5,4.0/5,176+,4.3/5 guest room rating,323 sq ft,17.0,$57
Sky Kamer Hotel,4.2/5,369 reviews,"Kisla Mh. 53 Sk. No:4/a, Antalya, Antalya",4.2/5,4.2/5,4.0/5,4.2/5,150+,3.7/5 guest room rating,161 sq ft,12.0,$43
Bizim Otel,3.9/5,206 reviews,"Divani Ali Sokak No 2, Beyazit, Fatih, Istanbul, Istanbul",4.3/5,4.2/5,4.0/5,3.9/5,50+,4.1/5 guest room rating,150 sq ft,7.0,$26
My Palace Rooms,4.1/5,109 reviews,"Osmanli Blv. 13, Istanbul, Istanbul",4.3/5,4.3/5,4.4/5,4.1/5,80+,3.9/5 guest room rating,538 sq ft,16.0,$34
Puding Marina Residence - Special Class,4.4/5,590 reviews,"Mermerli Sokak No 15, Kaleiçi, Antalya, Antalya",4.4/5,4.3/5,4.3/5,4.3/5,49+,3.9/5 guest room rating,151 sq ft,11.0,$58
Ferman Pera,3.9/5,37 reviews,"Katip Mustafa Celebi Mh, Tel Sk No4 Istanbul, Istanbul",4.2/5,4.3/5,3.9/5,3.7/5,97+,3.8/5 guest room rating,172 sq ft,7.0,$31
Divan Istanbul,4.5/5,660 reviews,"Asker Ocagi Cad. No:1 Taksim, Şişli, Istanbul",4.6/5,4.4/5,4.4/5,4.5/5,49+,4.5/5 guest room rating,387 sq ft,15.0,$132
CNR Otelcilik,2.8/5,69 reviews,"Nenehatun Mahallesi, Fatih Caddesi 269, Arnavutkoy, Istanbul",3.2/5,2.8/5,2.8/5,3.0/5,40+,,646 sq ft,8.0,$23
Neorion Hotel,4.7/5,232 reviews,"Orhaniye Street, No: 14, Sirkeci, Istanbul",4.8/5,4.8/5,4.6/5,4.7/5,45+,5/5 guest room rating,248 sq ft,13.0,$120
Doubletree By Hilton Istanbul Old Town,4.3/5,997 reviews,"Ordu Cad. No 31, Beyazit, Istanbul, Istanbul",4.4/5,4.4/5,4.2/5,4.3/5,47+,4.7/5 guest room rating,269 sq ft,15.0,$100
Hilton Garden Inn Izmir Bayrakli,4.2/5,518 reviews,"1597 1 Sokak No 6 Izban Salhane Duragi, karsisi, Bayrakli, Izmir, Izmir",4.5/5,4.3/5,4.2/5,4.3/5,67+,4/5 guest room rating,269 sq ft,12.0,$51
Pablo Di Pera,3.9/5,170 reviews,"Büyük Bayram Sk. 12, Istanbul, Istanbul",4.2/5,4.2/5,4.1/5,4.0/5,29+,4.2/5 guest room rating,269 sq ft,4.0,$21
Atici Hotel,4.4/5,78 reviews,"Barbaros Mahallesi Kocatepe Sokak no:19, Kaleiçi, Antalya, Antalya",4.5/5,4.7/5,4.3/5,4.3/5,33+,3.7/5 guest room rating,129 sq ft,6.0,$25
Febor İstanbul Bomonti Hotel & Spa,4.2/5,289 reviews,"Merkez Mahallesi Huzur Sokak No 23, Istanbul, Istanbul",4.4/5,4.2/5,4.3/5,4.3/5,28+,4.3/5 guest room rating,193 sq ft,10.0,$41
Radisson Residences VadIstanbul,4.2/5,42 reviews,"Ayazaga Mah, Kemerburgaz St 6A No.7V/101, Istanbul, Istanbul",4.2/5,3.7/5,4.6/5,4.3/5,44+,4.5/5 guest room rating,592 sq ft,17.0,$134
Nevv Bosphorus Hotel & Suites,4.7/5,33 reviews,"No7 Mecidiye Muallim Naci Cd Besiktas, Istanbul",4.7/5,4.7/5,4.4/5,4.5/5,49+,4.5/5 guest room rating,334 sq ft,7.0,$87
Tuvana Hotel - Special Class,4.5/5,410 reviews,"Tuzcular Karanlik Sok. No:18, Kaleici, Antalya, Antalya",4.5/5,4.6/5,3.8/5,4.4/5,87+,4.4/5 guest room rating,334 sq ft,10.0,$115
Great Fortune Hotel & SPA,3.6/5,20 reviews,"Bab-i Ali Cad. Basmuhasip Sok. No 11-13, Istanbul Fatih, Istanbul, Istanbul",3.9/5,4.0/5,4.7/5,3.8/5,80+,,140 sq ft,13.0,$63
Ramada Resort by Wyndham Mugla,4.4/5,107 reviews,"Kavakli Sarnic Cad., 1531 Sok No: 4, Bitez, Mugla, Mugla",4.5/5,4.4/5,4.1/5,4.4/5,152+,3.7/5 guest room rating,323 sq ft,18.0,$136
The Mugla EDITION,4.7/5,46 reviews,"Dirmil Mahallesi, Balyek Cd. No 5A, Mugla, Mugla",4.8/5,4.6/5,4.4/5,4.8/5,57+,4.7/5 guest room rating,452 sq ft,17.0,$291
Nidya Hotel Esenyurt,4.3/5,245 reviews,"1655 Sk. No: 3, Esenyurt, Opposite Akbati Mall, Istanbul",4.3/5,4.2/5,4.0/5,4.3/5,29+,4.2/5 guest room rating,431 sq ft,10.0,$48
Cevahir Hotel Istanbul Asia,4.0/5,664 reviews,"Yali Mahallesi, Turgut Ozal Bulvari, No.261, Maltepe, Istanbul, Istanbul",4.2/5,4.0/5,4.2/5,4.1/5,86+,4.7/5 guest room rating,280 sq ft,14.0,$52
Crowne Plaza Istanbul Florya,4.2/5,725 reviews,"Yesilkoy Halkali Caddesi No: 95, Senlikkoy Mahellesi Florya, Istanbul",4.4/5,4.2/5,4.4/5,4.4/5,137+,4.2/5 guest room rating,312 sq ft,21.0,$111
Metur Hotel,4.1/5,138 reviews,"Genclik Mah 1326 Sok No 47, Antalya, Antalya",4.2/5,4.3/5,4.0/5,4.0/5,61+,4.7/5 guest room rating,215 sq ft,9.0,$35
The Stay Bosphorus,4.6/5,85 reviews,"Salhane Sokak No.1, Ortaköy, Istanbul, Istanbul",4.7/5,4.8/5,4.5/5,4.6/5,56+,4.3/5 guest room rating,215 sq ft,9.0,$172
BMK Suites & Apartments,4.4/5,149 reviews,"Fener Mahallesi 1939 Sokak, Antalya",4.4/5,4.3/5,4.1/5,4.4/5,25+,5/5 guest room rating,376 sq ft,8.0,$28
The Bosphorus Aparts,4.1/5,81 reviews,"Aziz Mahmud Hudai Mah Halk Cad No:44, Uskudar, Istanbul, Istanbul",4.3/5,4.3/5,4.0/5,4.1/5,16+,5/5 guest room rating,323 sq ft,7.0,$49
"Radisson Blu Bosphorus Hotel, Istanbul",3.9/5,525 reviews,"Ciragan Cad 46, Ortakoy, Istanbul, Istanbul",4.1/5,4.0/5,3.5/5,3.9/5,93+,4/5 guest room rating,301 sq ft,15.0,$132
Hotel Yasmak Sultan,4.4/5,638 reviews,"Ebusuud Cad. 12, Istanbul",4.5/5,4.5/5,4.4/5,4.3/5,46+,3.8/5 guest room rating,194 sq ft,14.0,$110
Yilsam Istanbul Hotel,4.4/5,77 reviews,"Dizdariye Çesmesi Sk. 21, Istanbul, Istanbul",4.7/5,4.6/5,4.3/5,4.5/5,78+,4.4/5 guest room rating,215 sq ft,10.0,$66
Senator Hotel Taksim,4.2/5,318 reviews,"Abdulhak Hamit Caddesi No 9, Istanbul, Istanbul",4.3/5,4.2/5,4.0/5,4.1/5,38+,,236 sq ft,,$63
Doubletree by Hilton Istanbul Umraniye,4.4/5,228 reviews,"Yamanevler Mah. Haldun Alagas Cad. No:2, Umraniye, Istanbul",4.6/5,4.4/5,4.4/5,4.5/5,76+,5/5 guest room rating,301 sq ft,15.0,$73
Regnum Escana Boutique Hotel,4.7/5,61 reviews,"Yokusbasi Mah. Suluhasn Cad. Sonu No:33, Mugla, Mugla",4.7/5,4.7/5,4.5/5,4.8/5,38+,5/5 guest room rating,484 sq ft,12.0,$125
DoubleTree by Hilton Hotel Istanbul - Sirkeci,4.3/5,280 reviews,"Nobethane Cad. Darüssade Sok, No:5 Istanbul, Istanbul, Istanbul",4.5/5,4.3/5,4.3/5,4.3/5,121+,5/5 guest room rating,248 sq ft,14.0,$90
Park Hyatt Istanbul Macka Palas - Boutique Class,4.6/5,188 reviews,"Tesvikiye, Bronz Sokak No. 4 Sisli, Istanbul, Istanbul",4.8/5,4.6/5,4.3/5,4.6/5,89+,5/5 guest room rating,484 sq ft,16.0,$246
Bof Hotels Ceo Suites Atasehir,4.1/5,165 reviews,"Tatlisu Mah Tezcan Cad Halic Sok No: 10, Serifali Atasehir, Umraniye, Istanbul",4.2/5,4.0/5,4.0/5,4.2/5,117+,4.6/5 guest room rating,484 sq ft,15.0,$54
Novotel Istanbul Zeytinburnu,4.2/5,137 reviews,"Kazlicesme Mah. Kennedy Caddesi, No 56 Zeytinburnu, Istanbul, Istanbul",4.1/5,4.3/5,4.3/5,4.1/5,70+,4.7/5 guest room rating,269 sq ft,15.0,$67
"Radisson Blu Hotel, VadIstanbul",4.4/5,80 reviews,"Ayazaga Mahallesi, Cendere Cd. Sanyer, No.109/A, Istanbul, Istanbul",4.5/5,4.4/5,4.7/5,4.5/5,113+,5/5 guest room rating,323 sq ft,17.0,$158
Dalaman Airport Lykia Resort & Spa Hotel,3.7/5,116 reviews,"Havaalani Yolu 3. km Kenan Evren, Bulvari, Susam Sk. 21, Dalaman, Mugla",3.9/5,3.8/5,3.8/5,3.6/5,62+,4/5 guest room rating,269 sq ft,18.0,$41
DoubleTree by Hilton Istanbul Topkapi,3.9/5,662 reviews,"Orta Mahalle, Anit Sokak: No: 1, Bayrampasa, Istanbul, Istanbul",4.1/5,3.9/5,3.9/5,4.1/5,61+,3.8/5 guest room rating,388 sq ft,16.0,$65
HHK Hotel,4.3/5,364 reviews,"Demirtas Mah. Hayriye Hanim Sok. No:19, Suleymaniye, Sirkeci, Istanbul, Istanbul",4.5/5,4.6/5,3.7/5,4.2/5,83+,4/5 guest room rating,129 sq ft,11.0,$32
Crowne Plaza Hotel Istanbul - Asia,4.5/5,392 reviews,"Dedepasa Caddesi No:15 Viaport, Kurtkoy-Pendik, Istanbul, Istanbul",4.6/5,4.5/5,4.3/5,4.5/5,81+,4.7/5 guest room rating,377 sq ft,16.0,$129
Upsuites Hotel,4.3/5,69 reviews,"Kore Sehitleri CD No. 18, Istanbul, Istanbul",4.3/5,4.3/5,3.5/5,4.3/5,40+,4.3/5 guest room rating,215 sq ft,10.0,$52
Dalaman Airport Lykia Resort & Spa Hotel,3.7/5,116 reviews,"Havaalani Yolu 3. km Kenan Evren, Bulvari, Susam Sk. 21, Dalaman, Mugla",3.9/5,3.8/5,3.8/5,3.6/5,62+,4/5 guest room rating,269 sq ft,18.0,$41
DoubleTree by Hilton Istanbul Topkapi,3.9/5,662 reviews,"Orta Mahalle, Anit Sokak: No: 1, Bayrampasa, Istanbul, Istanbul",4.1/5,3.9/5,3.9/5,4.1/5,61+,3.8/5 guest room rating,388 sq ft,16.0,$65
HHK Hotel,4.3/5,364 reviews,"Demirtas Mah. Hayriye Hanim Sok. No:19, Suleymaniye, Sirkeci, Istanbul, Istanbul",4.5/5,4.6/5,3.7/5,4.2/5,83+,4/5 guest room rating,129 sq ft,11.0,$32
Crowne Plaza Hotel Istanbul - Asia,4.5/5,392 reviews,"Dedepasa Caddesi No:15 Viaport, Kurtkoy-Pendik, Istanbul, Istanbul",4.6/5,4.5/5,4.3/5,4.5/5,81+,4.7/5 guest room rating,377 sq ft,16.0,$129
Upsuites Hotel,4.3/5,69 reviews,"Kore Sehitleri CD No. 18, Istanbul, Istanbul",4.3/5,4.3/5,3.5/5,4.3/5,40+,4.3/5 guest room rating,215 sq ft,10.0,$52
Ramada Plaza by Wyndham Istanbul Tekstilkent,3.9/5,318 reviews,"Orucreis Mh Tekstilciler Cad 3, Esenler, Istanbul, Istanbul",4.1/5,3.9/5,4.0/5,4.1/5,59+,4.6/5 guest room rating,323 sq ft,16.0,$46
Somerset Maslak Istanbul,4.3/5,69 reviews,"Maslak 1453, Maslak District, Sogut Street No:20AA C15, Istanbul",4.2/5,4.0/5,3.2/5,4.5/5,44+,5/5 guest room rating,398 sq ft,14.0,$82
The Central Palace Taksim,4.1/5,211 reviews,"Lamartin Caddesi No 18, Istanbul, Istanbul",4.2/5,4.2/5,3.9/5,4.1/5,41+,4.6/5 guest room rating,323 sq ft,11.0,$67
Eskiceshme - Adults Only,4.3/5,52 reviews,"Eskicesme Mh Poyraz Sk. No:10, Mugla, Mugla",4.5/5,4.4/5,4.3/5,4.4/5,42+,5/5 guest room rating,226 sq ft,9.0,$87
Ramada Encore by Wyndham Izmir,3.7/5,390 reviews,"Mithatpaşa Street No:44 Balçova, Izmir, Izmir",3.9/5,3.8/5,3.5/5,3.7/5,72+,3.6/5 guest room rating,248 sq ft,13.0,$44
Ramada Hotel & Suites by Wyndham Kusadasi,4.1/5,36 reviews,"Turkmen Mahallesi Gazibegendi Bulvari, No 48/A, Aydin",4.0/5,3.9/5,4.6/5,4.1/5,50+,,366 sq ft,13.0,$58
Bricks Hotel Istanbul,4.3/5,238 reviews,"Zafer Mah. Dumlupınar Cad. No. 42, Istanbul",4.5/5,4.4/5,4.4/5,4.4/5,56+,4.7/5 guest room rating,301 sq ft,14.0,$65
Titanic City Taksim,4.2/5,429 reviews,"Lamartin Caddesi No:47, Taksim, Istanbul, Istanbul",4.4/5,4.2/5,4.3/5,4.3/5,46+,4.2/5 guest room rating,258 sq ft,13.0,$76
Aurasia Beach Hotel,4.2/5,42 reviews,"Siteler Mah. 238 Sok No 9, Marmaris, Mugla",4.5/5,4.1/5,3.8/5,4.3/5,24+,4.4/5 guest room rating,215 sq ft,10.0,$53
Barcelo Istanbul,4.5/5,115 reviews,"Kocatepe Mah. Abdulhak Hamit Cad No 25/1, Istanbul, Istanbul",4.6/5,4.4/5,4.5/5,4.5/5,51+,4.7/5 guest room rating,323 sq ft,15.0,$112
B Business Hotel & Spa,4.5/5,135 reviews,"Fabrikalar Mah., Namik Kemal Blv. No: 63, Antalya",4.6/5,4.5/5,4.4/5,4.7/5,79+,4.5/5 guest room rating,258 sq ft,12.0,$52
Antmare Hotel,4.4/5,113 reviews,"Alacati Mah. 18000, Sok. No. 28, Cesme, Izmir",4.5/5,4.4/5,4.6/5,4.4/5,55+,5/5 guest room rating,247 sq ft,13.0,$56
Lalinn Hotel,4.1/5,827 reviews,"Oyuncu Cikmazi Oyuncu Sok. No 4, Ahirkapi Istanbul, Istanbul, Istanbul",4.2/5,4.3/5,4.0/5,4.1/5,76+,4.1/5 guest room rating,247 sq ft,7.0,$16
CZN Burak Hotel,,25 reviews,"Katip Mustafa Celebi Mah. Meselik Sok., No:10, Istanbul, Istanbul",4.2/5,4.3/5,4.3/5,4.0/5,76+,5/5 guest room rating,484 sq ft,7.0,$104
Susesi Luxury Resort - All Inclusive,4.4/5,226 reviews,"Iskele Mevkii, Belek, Antalya",4.5/5,4.5/5,4.2/5,4.4/5,161+,4.7/5 guest room rating,430 sq ft,22.0,$268
Dosso Dossi Hotels & Spa Downtown,4.3/5,548 reviews,"Vatan Caddesi No:46-48 Fatih, Istanbul, Istanbul",4.3/5,4.3/5,4.0/5,4.3/5,75+,4.1/5 guest room rating,269 sq ft,16.0,$76
Ephesus Centrum,4.5/5,121 reviews,"1016. Sk. 19, Selcuk, Izmir",4.5/5,4.6/5,4.3/5,4.3/5,92+,5/5 guest room rating,258 sq ft,8.0,$18
LABRANDA Alantur Resort - All Inclusive,4.1/5,116 reviews,"Kestel Mah. Sahil Cad. 2, Kestel, Alanya, Antalya",4.3/5,4.2/5,3.6/5,4.0/5,149+,4.6/5 guest room rating,366 sq ft,16.0,$54
The Peak Hotel,3.7/5,332 reviews,"Meşrutiyet Cad. Oteller Sk. 1/3, Istanbul",3.7/5,3.8/5,3.7/5,3.7/5,61+,5/5 guest room rating,215 sq ft,8.0,$34
"Shangri-La Bosphorus, Istanbul",4.6/5,255 reviews,"Sinanpasa Mah, Hayrettin Iskelesi Sok, No.1, Besiktas, Istanbul, Istanbul",4.8/5,4.7/5,4.8/5,4.7/5,115+,4.2/5 guest room rating,538 sq ft,17.0,$375
Titanic Business Kartal,4.2/5,417 reviews,"Orta Mah. Kaptan-i Derya Cad. No:37, Istanbul, Istanbul",4.5/5,4.2/5,4.4/5,4.3/5,49+,4.8/5 guest room rating,344 sq ft,15.0,$54
Lara Garden Butik Hotel,4.0/5,65 reviews,"2321. Sk., Antalya, Antalya",4.1/5,4.2/5,3.7/5,4.1/5,33+,3.9/5 guest room rating,269 sq ft,7.0,$37
Hotel Arcadia Blue Istanbul,4.5/5,714 reviews,"Dr. Imran Oktem Cad. No:1, Istanbul, Istanbul",4.4/5,4.5/5,4.5/5,4.4/5,54+,4.4/5 guest room rating,247 sq ft,12.0,$162
TRYP by Wyndham Istanbul Taksim,3.7/5,76 reviews,"Cihangir Mah. Kazanci Yokusu No: 8, Taksim, Istanbul",3.8/5,3.8/5,3.6/5,3.7/5,25+,3.8/5 guest room rating,237 sq ft,15.0,$60
Hilton Istanbul Kozyatagi,4.1/5,"1,002 reviews","Sahrayicedit Mah. Batman Sok 4, Istanbul",4.3/5,4.1/5,4.1/5,4.2/5,112+,4.2/5 guest room rating,344 sq ft,18.0,$117
D-Resort Gocek - Special Class,4.7/5,149 reviews,"Cumhuriyet Mahallesi, Koyici Mevkii, Gocek, Mugla, Mugla",4.9/5,4.7/5,4.6/5,4.7/5,118+,5/5 guest room rating,279 sq ft,13.0,$253
Piano Hotel,4.5/5,257 reviews,"1364 Sok No 11 / 101, Ismet Kaptan Mahallesi, Izmir, Izmir",4.6/5,4.6/5,4.1/5,4.5/5,37+,3.9/5 guest room rating,108 sq ft,7.0,$23
Tempo Fair Suites,4.5/5,251 reviews,"Hürriyet Mahallesi Hürriyet Cd. No 17, Sirinevler Bahcelievler, Istanbul, Istanbul",4.6/5,4.5/5,4.2/5,4.5/5,39+,4.3/5 guest room rating,269 sq ft,8.0,$35
Cilek Marina Hotel,4.5/5,143 reviews,"Musalla Mah. 1065 Sok. No. 10, Cesme, Izmir",4.6/5,4.5/5,4.2/5,4.5/5,20+,4.9/5 guest room rating,269 sq ft,10.0,$35
Q Pera Hotel Taksim,3.6/5,261 reviews,"Kocatepe Mah. Feridiye Cad. No.38, Istanbul, Istanbul",3.6/5,3.6/5,3.2/5,3.5/5,39+,4.1/5 guest room rating,215 sq ft,2.0,$27
Ramada Encore By Wyndham Istanbul Basin Express,3.9/5,19 reviews,"Mehmet Akif Mah. 3. Inonu Cad., 96/1 Kucukcekmece, Istanbul",4.2/5,3.9/5,3.3/5,3.9/5,40+,5/5 guest room rating,237 sq ft,13.0,$47
Greymark Hotel,4.6/5,189 reviews,"etiler mahallesi mursel pasa bulvari, no 8 KONAK, Izmir",4.6/5,4.6/5,4.2/5,4.7/5,28+,4.8/5 guest room rating,323 sq ft,10.0,$34
Retaj Royale Istanbul,4.1/5,411 reviews,"Evren Mahallesi Cami Yolu Caddesi No:1A, Istanbul, Istanbul",4.4/5,4.1/5,3.8/5,4.3/5,66+,4.4/5 guest room rating,237 sq ft,15.0,$68
Gorrion Hotel Istanbul,4.2/5,481 reviews,"Yenibosna Merkez Mahallesi Sanayi, Caddesi No:9, Istanbul, Istanbul",4.3/5,4.1/5,3.8/5,4.3/5,88+,4.5/5 guest room rating,279 sq ft,17.0,$58
Alp Pasa Hotel,3.8/5,410 reviews,"Barbaros Mah. Hesapçi Sk. No:30, Kaleiçi, Antalya",3.9/5,3.7/5,3.4/5,3.8/5,32+,4.1/5 guest room rating,183 sq ft,12.0,$100
Infinity City Hotel,4.3/5,179 reviews,"Cumhuriyet Mahallesi 39.Sokak N.6, Mugla, Mugla",4.5/5,4.4/5,4.2/5,4.2/5,84+,4.3/5 guest room rating,215 sq ft,6.0,$41
Point Hotel Barbaros,4.1/5,506 reviews,"Yildiz Posta Cad. No. 29, Istanbul, Istanbul",4.1/5,4.1/5,3.6/5,4.2/5,52+,4.5/5 guest room rating,269 sq ft,15.0,$94
Miracle Resort Hotel - All Inclusive,4.1/5,223 reviews,"Güzeloba Mah Yasar Sobutay Bulvar No 34, Lara, Antalya, Antalya",4.4/5,4.0/5,4.2/5,4.3/5,60+,5/5 guest room rating,323 sq ft,20.0,$130
W Istanbul,4.3/5,521 reviews,"Suleyman Seba Cad No. 22 - Akaretler, Besiktas, Istanbul, Istanbul",4.4/5,4.4/5,4.1/5,4.2/5,132+,4.6/5 guest room rating,323 sq ft,15.0,$176
Golden Orange Hotel,4.3/5,185 reviews,"Gürsu Mahallesi 304 Sokak No. 52, Konyaalti, Antalya",4.3/5,4.4/5,4.2/5,4.2/5,40+,4.6/5 guest room rating,285 sq ft,10.0,$37
Kuum Hotel & Spa,4.3/5,102 reviews,"Map Mahallesi Ataturk Cad. No: 150, Turkbuku, Mugla, Mugla",4.5/5,4.1/5,4.9/5,4.4/5,52+,4.6/5 guest room rating,431 sq ft,13.0,$174
Pacco Hotel Spa,3.8/5,18 reviews,"Arapsuyu Mahallesi, 615 Sokak, No.2, Konyaalti, Antalya",3.9/5,4.1/5,4.3/5,4.1/5,58+,5/5 guest room rating,226 sq ft,14.0,$49
Holiday Inn Express Istanbul - Atakoy Metro,4.4/5,36 reviews,"Sirinevler Mahallesi Maresel Fevzi, Caddesi 1, Sokak No. 13, Istanbul",4.6/5,4.5/5,4.2/5,4.3/5,86+,4.3/5 guest room rating,226 sq ft,7.0,$64
Mic Royal Hotel,4.3/5,54 reviews,"altinkum 415 sokak no4, Konyaalti, Antalya",4.5/5,4.4/5,3.8/5,4.4/5,61+,4.4/5 guest room rating,215 sq ft,7.0,$40
Istanbul Marriott Hotel Sisli,4.3/5,309 reviews,"Abide-i Hurriyet Caddesi No: 142, Sisli, Istanbul, Istanbul",4.5/5,4.4/5,4.4/5,4.3/5,107+,4.4/5 guest room rating,312 sq ft,18.0,$109
Neopol Hotel Deluxe,3.9/5,61 reviews,"Yilanci Burnu Sk, no 17, Kusadasi, Aydin",4.0/5,3.8/5,3.5/5,3.9/5,72+,5/5 guest room rating,344 sq ft,10.0,$26
The Marmara Sisli,3.8/5,572 reviews,"Ortaklar cad. 30 Mecidiyekoy, Istanbul, Istanbul",3.9/5,3.9/5,3.8/5,3.7/5,27+,3.9/5 guest room rating,291 sq ft,11.0,$62
Titanic Port Bakirkoy,4.4/5,582 reviews,"Fisekhane Caddesi No: 7/3, Bakirkoy, Istanbul, Istanbul",4.5/5,4.4/5,4.3/5,4.4/5,54+,4.4/5 guest room rating,301 sq ft,15.0,$84
Labranda TMT Mugla - All Inclusive,3.8/5,245 reviews,"Atatürk Cad. No: 180, Mugla, Mugla",3.8/5,3.8/5,3.7/5,3.7/5,230+,3.6/5 guest room rating,236 sq ft,19.0,$78
Mediterra Art Hotel,3.8/5,511 reviews,"Barbaros Mah. Zafer Sok., No. 5 Kaleici, Antalya, Antalya",4.0/5,3.9/5,3.3/5,3.7/5,52+,3.9/5 guest room rating,215 sq ft,13.0,$34
Suiteness Taksim Hotel,3.7/5,555 reviews,"Kuloglu Mahallesi Agahamami Cd No:18, Istanbul, Istanbul",3.7/5,3.8/5,3.5/5,3.6/5,98+,3.9/5 guest room rating,194 sq ft,8.0,$41
Hyatt Centric Levent Istanbul,4.5/5,200 reviews,"Buyukdere Caddesi No. 136, Levent, Istanbul",4.7/5,4.6/5,4.4/5,4.6/5,86+,5/5 guest room rating,377 sq ft,14.0,$129
Stories Hotel Kumbaracı,4.0/5,114 reviews,"Kumbaracı Yokuşu No: 66, Istanbul, Istanbul",4.2/5,4.2/5,3.6/5,4.1/5,42+,4.5/5 guest room rating,247 sq ft,8.0,$37
Joya Del Mar Hotel,4.2/5,78 reviews,"Adaagiz Mevkii, Yalanci Bogaz, No 24, Marmaris, Mugla",4.5/5,4.1/5,4.0/5,4.3/5,153+,5/5 guest room rating,107 sq ft,11.0,$91
